,0,1,2,3
421purchases1,1,0,0,1
421total,1,0,0,0
423oil,1,0,0,1
427note,1,0,0,0
42all,1,0,0,0
42shortages,1,0,0,0
438income,1,0,0,0
439loss,1,0,0,0
439unrecognized,1,0,0,0
43environmental,1,0,0,0
43second,1,0,0,0
444total,1,0,0,0
44increased,1,0,0,0
44reserve,1,0,0,0
45effects,1,0,0,0
45gas,1,1,0,0
45warming,1,0,0,0
460at,1,0,0,0
460loss,1,1,0,1
462less,1,0,0,0
463derivative,1,0,0,0
466accrued,1,1,0,0
466net,1,0,0,1
469total,1,0,0,0
46reserve,1,0,0,0
47if,1,0,0,0
47vested,1,0,0,0
480net,1,0,0,0
483for,1,0,0,1
485income,1,0,0,1
48new,1,0,0,0
49risks,1,0,0,0
4delivery,1,0,0,1
4indenture,1,1,0,1
4mid,1,0,0,0
4oil,1,1,0,1
4proved,1,0,0,0
4undiscounted,1,1,0,0
500balances,1,0,0,1
50we,1,0,0,0
517accrued,1,0,0,0
518drilling,1,0,0,0
518liabilities,1,0,0,0
51part,1,0,0,0
524other2,1,0,0,0
527changes,1,0,0,0
529other,1,0,0,0
52dividends,1,0,0,0
52granted,1,0,0,0
537collective,1,0,0,0
53existing,1,0,0,0
53second,1,0,0,0
54ad,1,0,0,0
54item,1,0,0,0
559deferred,1,0,0,0
562collective,1,0,0,0
565exploration,1,0,0,0
56note,1,0,0,0
574total,1,0,0,0
575forfeited,1,0,0,0
575the,1,0,0,0
57item,1,0,0,0
57june,1,0,0,1
57nymex,1,0,0,0
58____________________________________________,1,0,0,0
583other,1,0,0,0
58transportation,1,0,0,0
595north,1,0,0,0
598cash,1,0,0,1
59the,1,0,0,1
5a,1,0,0,0
5core,1,1,0,1
5depletion,1,1,0,0
5eagle,1,0,1,0
5indenture,1,1,0,1
5less,1,0,0,0
5mmboe,1,0,1,1
5ngls,1,0,0,0
5non,1,1,0,1
5oil,1,0,1,0
5operating,1,0,1,0
5proved,1,0,0,1
5realized,1,1,0,1
5revisions,1,0,0,0
5the,1,1,1,1
5total,1,0,0,1
5total633,1,0,0,0
5weighted,1,1,0,0
6____________________________________________note,1,0,0,0
600additions,1,0,0,0
60the,1,0,0,1
619total,1,0,0,0
61effects,1,0,0,0
61per,1,0,0,0
61the,1,0,0,0
625asset,1,0,0,0
627plan,1,0,0,0
62in,1,0,1,0
630current,1,0,0,0
636accrued,1,0,0,0
63costs,1,0,0,0
63transportation,1,0,0,0
640derivatives,1,0,0,0
640other,1,0,0,0
641stock,1,0,0,0
64outlook,1,0,0,0
650liabilities,1,0,0,0
652net,1,0,0,0
654oil,1,0,0,0
655the,1,0,0,0
658funded,1,0,0,0
65financial,1,0,0,0
65gas,1,1,0,0
669accumulated,1,0,0,0
66a,1,0,0,0
67____________________________________________,1,0,0,0
671additional,1,0,0,0
672issuance,1,0,0,1
67performance,1,0,0,0
682liabilities,1,0,0,0
689reserves,1,0,0,0
68depletion,1,0,0,0
692net,1,0,0,0
694other,1,1,0,1
69gain,1,0,0,0
6additions,1,0,0,0
6exploratory,1,0,0,0
6indenture,1,1,0,1
6infill,1,0,0,0
6lease,1,0,0,0
6proved,1,0,1,1
6supplement,1,0,0,0
6we,1,0,1,0
7____________________________________________,1,0,0,0
702total,1,0,0,0
706tax,1,0,0,1
70derivatives,1,0,0,1
713other,1,0,0,0
714net,1,0,0,1
71other,1,0,0,0
720treasury,1,0,0,0
726basic,1,0,0,1
726employer,1,0,0,0
726forfeited,1,1,0,1
727total,1,0,0,0
72september,1,0,0,0
731net,1,0,0,0
733accounts,1,0,0,0
738pension,1,0,0,0
73change,1,0,0,0
749prepaid,1,0,0,0
74in,1,0,0,0
751derivative,1,0,0,0
751net,1,0,0,0
751note,1,0,0,0
751total,1,0,0,0
754net,1,0,0,0
75realized,1,0,0,0
75weighted,1,0,0,0
766reclassification,1,0,0,1
769deferred,1,0,0,0
76during,1,0,0,0
770state,1,0,0,0
771tax,1,0,0,0
771total,1,0,0,0
773unproved,1,0,0,0
776issuance,1,0,0,0
77analysis,1,0,0,0
785previously,1,0,0,0
788stock,1,0,0,0
78fourth,1,0,0,0
78we,1,0,0,1
79off,1,0,0,0
7asset,1,0,0,0
7deed,1,0,0,0
7mmboe,1,2,0,0
7permian1,1,0,0,0
7production,1,0,0,0
7registration,1,0,0,0
7relative,1,0,0,0
7reservesthe,1,1,0,1
7sales,1,0,1,0
7senior,1,0,0,1
7total,1,1,1,0
808available,1,0,0,1
808other,1,0,0,0
80gas,1,0,0,0
80the,1,0,0,0
81____________________________________________n,1,0,0,0
81____________________________________________note,1,0,0,0
810sales,1,0,0,0
815change,1,0,0,0
816dividends,1,0,0,0
816stock,1,1,0,1
81production,1,1,0,0
81revenue,1,0,0,0
81the,1,1,1,1
820other,1,0,0,0
820revenue,1,0,0,0
821net,1,1,0,1
827____________________________________________,1,0,0,0
82income,1,0,0,0
82statement,1,0,0,0
837for,1,0,0,1
837vested,1,0,0,1
83all,1,0,0,0
83boilers,1,0,0,0
845other,1,0,0,0
84prepared,1,0,0,0
852accrued,1,0,0,0
859hedge,1,0,0,0
85gas,1,0,1,0
861impairment,1,0,0,0
861total,1,0,0,0
862valuation,1,0,0,0
864contributionsthe,1,0,0,0
864total,1,0,0,1
867____________________________________________,1,0,0,0
868gain,1,0,0,0
86depletion,1,0,0,0
86item,1,0,0,1
872depletion,1,0,0,0
872total,1,0,0,0
874oklahoma46,1,0,0,0
877exploration129,1,0,0,0
877exploratory,1,0,0,0
87report,1,0,0,0
881____________________________________________,1,0,0,0
88sm,1,1,0,1
891liabilities,1,0,0,1
893gas,1,0,0,0
893net,1,0,0,0
89sm,1,1,0,1
8non,1,1,0,0
8overhead,1,0,0,1
8the,1,1,0,1
9____________________________________________,1,2,0,1
90sm,1,1,0,1
90third,1,0,0,0
91____________________________________________,1,0,0,0
913total,1,0,0,0
914gains,1,0,0,0
91consolidated,1,0,0,1
91dividends,1,0,0,1
91realized,1,0,0,0
91sm,1,0,0,1
920thereafter,1,0,0,0
921acquisitions,1,0,0,0
921equity,1,0,0,0
921non,1,0,0,0
926the,1,0,0,0
92diluted,1,0,0,1
92sm,1,0,0,1
934interest,1,0,0,0
935other,1,0,0,2
937changes,1,0,0,0
93sm,1,0,0,1
940net,1,0,0,0
94sm,1,0,0,1
951restricted,1,0,0,0
95derivative,1,0,0,0
95restricted,1,0,0,0
961additions,1,0,0,0
969____________________________________________,1,0,0,0
969diluted68,1,0,0,0
96oil,1,0,0,0
96second,1,0,0,0
971benefits,1,0,0,0
971total,1,0,0,0
97net,1,0,0,0
980revisions,1,0,0,0
985____________________________________________,1,0,0,1
985deferred,1,0,0,0
98adjusted,1,0,0,0
98effects,1,0,0,0
98ngls,1,1,0,0
98vested,1,1,0,0
993total,1,0,0,0
994forfeited,1,0,0,1
996basic,1,0,0,0
997revision,1,0,0,0
99income,1,0,0,0
9gas7,1,0,0,0
9overhead,1,0,0,0
9relative,1,0,0,2
9removed,1,0,1,1
9revisions,1,1,0,1
9unproved,1,0,0,0
þaccelerated,1,1,0,1
þthe,1,1,1,1
abbreviated,1,1,1,1
aberrations,1,0,0,0
abnormal,1,1,1,1
aboutmarket,1,1,0,1
absence,1,1,1,1
absorb,1,1,1,1
abstract,1,1,1,1
accelerate,1,1,2,1
accessing,1,1,1,1
accident,1,1,1,1
accountability,1,1,0,1
accountants,1,1,2,1
accountantson,1,1,0,1
accountingas,1,0,0,1
accuracy,1,1,3,1
achievable,1,1,1,1
achieving,1,3,1,3
acquired330,1,1,0,1
acquisitions17,1,0,0,0
acquisitions40,1,0,0,0
acreage14,1,0,0,0
activities1,1,1,0,0
activities740,1,0,0,0
activitiescosts,1,1,1,1
activitiesthe,1,0,0,1
activity13,1,0,0,0
activity646,1,0,0,0
activityall,1,1,1,1
activityin,1,0,0,0
activitywe,1,0,0,1
actually,1,2,1,1
additives,1,1,1,1
addressed,1,2,1,1
addresses,1,1,1,1
adjoining,1,1,1,1
adjusting,1,0,1,0
administer,1,1,1,1
administrative167,1,0,0,0
adopt,1,4,3,1
advances,1,1,1,1
advances152,1,0,0,0
advantages,1,1,1,1
advising,1,1,0,1
aftermath,1,1,1,1
age,1,3,1,2
agreementin,1,1,0,1
alabama,1,0,0,1
allegations,1,1,1,1
allowance2,1,0,0,0
altered,1,1,1,1
alternate,1,1,1,1
alternatives,1,0,1,1
analyses,1,2,2,1
analytical,1,0,0,0
analyze,1,1,1,1
ancillary,1,1,0,1
andmid,1,0,0,0
angles,1,1,1,1
animal,1,1,1,1
annex,1,1,2,1
anomalies,1,1,1,1
anthony,1,0,0,0
aoclcommodity,1,0,0,1
api,1,1,0,1
appear,1,1,1,1
applies,1,3,4,1
appoints,1,1,1,1
apportioned,1,1,1,1
aquatic,1,0,0,1
areal,1,1,1,1
areas6,1,1,0,1
areasour,1,1,0,1
arkansas,1,0,0,0
army,1,1,1,1
aro,1,0,0,1
arranged,1,1,1,1
arrangementsas,1,1,1,1
arrangementsthe,1,1,1,1
arranging,1,1,0,1
asc,1,5,2,1
aside,1,0,0,1
assesses,1,0,0,1
assessments,1,1,0,1
asset189,1,0,0,0
asset402,1,0,0,0
assets134balance,1,0,0,0
assets144unrealized,1,0,0,1
assets161unrealized,1,0,0,0
assets267,1,0,0,0
assets67balance,1,0,0,1
assets737,1,0,0,0
assets745,1,0,0,0
assets78,1,0,0,0
assign,1,1,1,1
assignable,1,1,1,1
assigned,1,2,2,1
assignment,1,1,1,1
assimilating,1,1,1,1
assistant,1,1,1,1
assumptionsthe,1,0,1,1
assumptionsweighted,1,1,0,1
attainable,1,1,1,1
attempt,1,1,1,1
attempting,1,0,0,1
attempts,1,1,1,1
attestation,1,1,1,1
attorney31,1,1,1,1
attorneyknow,1,1,1,1
auditryder,1,1,1,1
auspices,1,1,1,1
austin,1,0,0,0
authorization,1,1,1,1
authorize,1,1,1,1
awarded,1,1,2,1
backup,1,1,1,1
bad,1,1,1,1
banking,1,0,0,0
barclay,1,1,1,1
bargaining,1,1,1,1
barnett,1,0,0,0
barriers,1,1,1,1
basic67,1,0,0,1
baytex,1,1,0,1
bear,1,16,4,0
bears,1,1,1,1
beds,1,1,1,1
begins,1,1,0,1
behavior,1,1,1,1
belvieu,1,7,6,6
beneficialowners,1,1,0,1
benefit1,1,1,0,0
benefited,1,0,0,1
benefitsthe,1,1,1,1
berkeley,1,1,0,1
bidding,1,1,1,1
big,1,1,0,1
blend,1,1,1,1
blowouts,1,1,1,1
boilers,1,0,0,0
bona,1,0,0,0
books,1,1,2,1
borne,1,1,1,1
boundaries,1,1,1,1
breakdown,1,1,0,1
breakdowns,1,1,1,1
brine,1,1,1,1
bring,1,1,1,1
brownian,1,1,1,1
buffalo,1,0,0,0
buildings,1,1,1,1
burdens,1,1,1,1
bureau,1,3,1,3
burning,1,1,1,1
cal,1,1,1,1
calculable,1,1,0,1
calculating,1,0,0,1
calendar,1,6,5,1
calling,1,0,0,0
calving,1,1,0,1
cancel,1,2,1,1
canceled,1,2,1,1
capabilities,1,1,1,1
capital283,1,0,0,0
capitalizes,1,1,1,1
carefully,1,1,1,1
carrybacks,1,1,1,1
carryovers,1,2,0,1
cashthe,1,0,0,0
categories,1,2,5,2
causes,1,1,1,1
causing,1,0,0,0
caution,1,1,1,1
central,1,1,1,1
certifications,1,1,1,1
chairman,1,3,1,1
chalk,1,0,0,0
challenge,1,1,2,1
challenges,1,1,6,1
change10,1,1,1,1
changerevisions,1,1,1,1
changes3,1,0,0,0
changing,1,2,2,1
character,1,1,1,1
charge,1,1,1,2
charges,1,2,2,0
charges21,1,1,0,1
charitable,1,1,0,1
charter,1,1,1,1
charters,1,1,1,1
chloride,1,0,0,1
chlorides,1,0,0,1
chosen,1,1,1,1
circulate,1,0,0,1
circumvented,1,1,1,1
cities,1,1,1,1
claiming,1,0,0,0
clarified,1,1,2,1
clarify,1,5,2,1
classes,1,1,2,1
clay,1,1,1,1
cleaning,1,1,1,1
cleared,1,0,0,0
clearinghouses,1,0,0,0
closings,1,2,0,1
closure,1,3,1,4
coast25,1,0,0,1
coast33,1,0,0,0
codification,1,0,0,1
collapse,1,1,1,1
collateralized,1,1,1,1
collect,1,1,1,1
collectability,1,1,0,1
collusion,1,1,1,1
column,1,1,1,1
com,1,1,1,1
combinations,1,5,2,1
commence,1,1,1,1
commences,1,1,1,1
comments51item,1,0,0,0
commentswe,1,1,1,1
commerce,1,1,1,1
commingled,1,1,1,1
commissionwashington,1,1,1,1
commitments14,1,0,0,0
commitmentsas,1,1,0,1
commits,1,1,1,1
committees,1,1,1,1
communicated,1,1,1,1
communication,1,1,2,1
community,1,1,1,1
company58,1,0,0,1
companygeneral,1,1,1,1
compare,1,2,2,1
comparing,1,0,0,0
compensation146item,1,0,0,0
compensation56,1,0,0,0
compensationat,1,1,1,1
compensationthe,1,1,1,1
competition16,1,0,0,0
competitionthe,1,0,0,0
compliant,1,0,0,0
complies,1,1,1,1
composite,1,1,1,1
composition,1,0,2,1
compression,1,0,0,0
comprising,1,3,3,1
computations,1,1,1,1
compute,1,1,1,1
computed,1,1,1,1
computer,1,1,2,1
computes,1,1,1,1
computing,1,1,2,1
conceived,1,1,1,1
concept,1,0,0,1
concepts,1,0,0,0
concern,1,3,0,1
conclusive,1,1,1,1
conclusively,1,1,1,1
configuration,1,1,1,1
confined,1,1,1,1
confirming,1,1,1,1
conformed,1,0,0,0
congressional,1,4,1,1
connected,1,1,1,1
connecting,1,1,1,1
consented,1,1,1,1
consequence,1,0,0,0
considering,1,2,2,1
consistency,1,1,1,1
consistently,1,2,1,1
consolidate,1,2,2,2
consolidation,1,3,0,1
constantly,1,1,1,1
constituting,1,1,1,1
constructed,1,4,4,3
constructing,1,1,1,1
consuming,1,1,1,1
consummate,1,1,1,1
contaminated,1,1,1,1
contents,1,1,1,1
contentsitem,1,1,1,1
context,1,1,2,1
contingenciescommitmentsthe,1,1,0,1
contingenciesthe,1,1,0,1
contingency,1,1,1,1
continuation,1,1,1,1
continuity,1,1,1,1
continuously,1,0,0,0
contracts26,1,0,0,0
contractsgas,1,0,0,0
contractsngl,1,0,0,0
contractsoil,1,0,0,0
contractsthe,1,1,0,1
contributed,1,1,1,1
contribution5,1,0,0,0
controlled,1,1,1,1
controller,1,1,1,1
controlling,1,1,1,1
conventional,1,1,1,1
conversely,1,1,1,1
conversion864,1,0,0,0
cooperated,1,1,0,1
coordinating,1,0,0,0
copas,1,0,0,0
corporategovernance146item,1,0,0,0
corporation,1,1,0,1
corps,1,1,1,1
correct,1,2,1,1
correlates,1,0,0,0
correlation,1,0,0,1
corruption,1,1,3,1
cost17,1,0,0,1
cost6,1,0,1,0
costless,1,2,2,0
costs1,1,0,1,0
costs118,1,2,0,0
costs138,1,0,0,0
costs337,1,0,0,0
council,1,0,0,0
counted,1,1,1,1
counts,1,1,1,1
craterings,1,1,1,1
creditworthiness,1,1,1,1
curative,1,1,1,1
cured,1,1,1,1
currency,1,1,1,1
curtail,1,1,1,1
curtailments,1,1,1,1
custom,1,1,0,1
customers15,1,0,0,0
customersthe,1,1,1,1
customerswe,1,1,1,1
cut,1,1,0,1
dakota313,1,0,0,0
data55item,1,0,0,0
data66,1,0,0,0
data87item,1,0,0,0
datareport,1,1,1,1
dawson,1,0,0,0
death,1,1,1,1
debtrevolving,1,1,0,1
debts,1,1,1,1
debtthe,1,1,1,2
decade,1,1,1,1
dedicate,1,1,1,1
deed,1,1,1,1
def,1,1,1,1
defaulting,1,1,0,1
defect,1,1,1,1
defective,1,1,1,1
deferral,1,1,0,0
deficit,1,1,2,1
define,1,0,0,0
defines,1,1,1,1
degrees,1,1,1,1
dehydrators,1,1,1,1
delegated,1,1,1,1
delineate,1,1,1,0
delinquent,1,1,1,1
deliveries,1,1,1,1
demonstrated,1,1,1,1
den,1,16,4,0
dense,1,1,1,1
deny,1,1,1,1
departures,1,1,1,1
dependence,1,1,3,1
depletable,1,0,0,0
deposited,1,1,1,1
deposits,1,1,0,1
derivativesthe,1,0,1,1
derive,1,1,0,1
describing,1,1,1,1
despite,1,2,1,1
destruction,1,1,1,1
determinable,1,0,0,1
determinations,1,1,1,1
determines,1,1,0,1
deviating,1,1,1,1
differential,1,2,5,2
differing,1,0,0,1
dilutive814,1,0,0,0
diminished,1,1,1,1
dimmit,1,1,0,1
direction,1,1,1,1
directors10,1,1,1,1
disallowing,1,0,0,0
disbursements,1,1,1,1
disciplines,1,0,0,0
disclaim,1,1,1,1
disclose,1,1,1,1
disclosure142item,1,0,0,0
disclosurenone,1,1,1,1
disclosures51,1,0,0,0
disclosuresthese,1,1,1,1
discontinuance,1,1,1,2
discount552,1,0,0,0
discounting,1,0,0,0
discover,1,1,1,1
discretionary,1,0,0,1
discuss,1,1,1,1
dismantlement,1,1,1,1
dismiss,1,1,0,1
dispatching,1,1,1,1
disposals,1,1,1,0
disproportionate,1,1,1,1
disputes,1,1,1,1
disrupting,1,1,1,1
disruption,1,1,1,1
dissolved,1,0,0,1
distance,1,1,0,1
district,1,4,7,0
divestment,1,1,1,1
dollars,1,1,0,1
doubt,1,1,0,1
doubtful,1,1,0,2
dow,1,1,1,1
downturn,1,1,1,1
drainage,1,1,1,1
drastically,1,0,0,0
draw,1,0,0,0
drive,1,0,0,0
drivers,1,1,1,1
drop,1,1,0,3
earnings2,1,0,0,0
easements,1,1,3,1
easier,1,1,1,1
easily,1,1,0,1
efficiency,1,1,3,1
effluent,1,0,0,1
electing,1,0,1,0
electronic,1,1,1,1
embed,1,1,0,1
embedded,1,0,0,0
emitting,1,1,1,1
employ,1,0,0,1
employed,1,0,1,1
employer,1,2,1,1
employs,1,1,0,1
enacting,1,0,0,1
encompass,1,1,1,1
encourage,1,1,1,1
endanger,1,1,1,1
enforce,1,0,0,0
enforceable,1,0,0,0
engagement,1,0,0,0
engineer,1,1,2,1
enhancing,1,2,1,0
enjoy,1,1,1,1
entails,1,1,1,1
entirety,1,2,1,1
entitling,1,1,1,1
entry,1,1,1,2
environmental83,1,0,0,0
environmentalwe,1,1,0,0
equally,1,3,3,1
equation,1,1,1,1
equations,1,1,1,1
equipmentother,1,1,1,1
equity2,1,1,1,0
equity92consolidated,1,0,0,1
equivalentsthe,1,1,0,1
errors,1,1,1,1
especially,1,1,2,2
estimates167,1,0,0,0
estimates80,1,0,0,0
estimations,1,1,1,1
ethics,1,1,1,1
evaluations,1,1,1,1
eventually,1,1,1,2
evidencing,1,0,0,0
evolve,1,1,1,1
exacerbated,1,0,0,0
exact,1,1,1,1
examination,1,1,2,1
examinations,1,1,1,1
excessive,1,1,1,1
exchangesecurities,1,1,1,1
excise,1,1,1,1
executed,1,8,3,1
exempt,1,0,0,0
exercises228,1,0,0,1
exercises240,1,0,0,0
exercises39,1,1,0,1
exhausted,1,0,0,0
exhibitnumberdescription,1,1,1,1
exiting,1,0,0,2
expand,1,3,8,4
expands,1,1,0,1
expanse,1,1,1,1
expectation,1,0,1,0
expects,1,8,5,2
expedient,1,1,2,1
expense24,1,0,0,0
expense34,1,0,0,0
expense5,1,1,0,2
expense6,1,0,0,0
expense690,1,0,0,0
expense715,1,0,0,0
expense98,1,0,0,0
expenses1,1,0,1,0
expenses4,1,0,0,0
expenses437,1,0,0,0
expenses504,1,0,0,1
expenses64,1,0,0,0
expenses74,1,0,0,0
expenses9,1,0,0,0
expensing,1,0,0,0
experiencing,1,1,1,1
explanation,1,1,1,1
exploitation,1,1,1,1
explosions,1,1,1,1
export,1,1,1,1
exports,1,5,2,1
expose,1,1,2,1
expressions,1,1,1,1
extending,1,1,1,1
extensions15,1,0,0,0
extraordinary,1,0,0,2
extreme,1,1,4,1
extremely,1,1,0,1
faces,1,4,2,1
facility1,1,0,0,1
facility166,1,0,0,0
facilityduring,1,0,0,0
facilitythe,1,1,0,1
factors29item,1,0,0,1
factorsin,1,1,0,1
fahrenheit,1,1,1,1
fail,1,2,1,1
failures,1,1,4,1
fall,1,1,1,1
fallen,1,0,0,0
faulty,1,1,1,1
favor,1,1,1,1
feasibility,1,1,0,1
featuresas,1,1,1,1
federally,1,1,1,1
fenner,1,5,0,1
fewer,1,1,0,0
fide,1,0,0,0
field32,1,1,0,0
fields,1,2,1,1
filers,1,1,1,1
files,1,1,1,1
filings,1,1,1,1
finalizing,1,0,0,0
financings,1,2,2,1
fine,1,1,1,1
fines,1,1,1,1
fires,1,1,1,1
firms87consolidated,1,0,0,0
firmto,1,0,2,0
fix,1,1,1,1
fixture,1,1,1,1
fledging,1,1,0,1
flows12,1,0,0,0
flows9,1,0,1,0
flows93notes,1,0,0,1
flowsthe,1,1,0,1
follow,1,1,1,1
followed,1,1,2,1
footnote,1,0,0,1
forecast,1,3,1,3
forms,1,1,1,1
foundation,1,1,1,1
founded,1,1,1,1
fraction,1,1,1,1
fractional,1,3,1,1
frames,1,0,0,1
freely,1,1,0,1
freezing,1,1,1,1
frontier,1,0,0,1
fulfill,1,1,1,1
functional,1,1,0,1
functionality,1,0,0,1
functioning,1,1,1,1
fundamentals,1,1,1,1
furnish,1,1,1,1
furniture,1,1,1,1
gaines,1,0,0,0
gallons,1,1,1,1
game,1,1,0,1
gasolines,1,1,0,1
gather,1,1,4,1
gathered,1,2,2,2
general4,1,1,1,1
geometric,1,1,1,1
geophysicists,1,1,1,1
geopolitical,1,1,1,1
gives,1,1,1,1
glycol,1,1,1,1
going,1,4,4,1
good,1,1,0,1
gov,1,1,2,1
govern,1,0,0,0
governancethe,1,1,1,1
governed,1,0,0,0
governments,1,1,2,1
grained,1,1,1,1
graphthe,1,1,1,1
gravity,1,1,0,1
greatly,1,1,1,1
green,1,1,1,1
grid,1,4,5,1
gridborrowing,1,0,0,1
grouped,1,1,1,1
grouping,1,1,1,1
grouse,1,1,0,1
growthan,1,0,0,0
guarantees,1,2,2,2
guarantors,1,1,1,1
habitat,1,1,0,1
halt,1,1,1,1
hardware,1,1,2,1
harm,1,1,1,1
harmed,1,1,1,1
hazard,1,1,1,1
headquarters,1,1,1,1
heard,1,1,1,1
heat,1,1,1,1
heating,1,1,0,1
heavily,1,1,1,1
heightened,1,2,0,2
hereof,1,1,1,1
highest,1,2,6,1
highlightsoperational,1,0,0,0
holdings,1,3,3,1
holds,1,1,1,1
hole44,1,0,0,0
hole5,1,0,0,0
htm,1,1,1,1
hurdles,1,1,1,1
hydraulically,1,1,1,1
hydrogen,1,1,1,1
identification,1,2,1,1
ii52item,1,0,0,0
iii146item,1,0,0,0
iiiitem,1,1,1,1
iiitem,1,1,1,1
illiquid,1,1,1,1
imbalance,1,1,0,1
immateriality,1,0,0,0
immediate,1,1,1,1
impair,1,1,2,1
impermeable,1,1,1,1
implements,1,1,1,1
imported,1,1,1,1
imports,1,1,0,1
imposes,1,1,1,4
improvements,1,4,5,1
in320,1,0,0,0
in358,1,0,0,0
inaccuracy,1,2,1,1
inactive,1,1,1,1
inception,1,0,0,0
incidental,1,1,1,1
incidents,1,1,1,1
income2,1,0,1,0
inconsistent,1,1,2,1
incremental,1,0,1,1
incurred13,1,0,0,0
indefinite,1,1,1,1
indefinitely,1,0,0,1
indemnification,1,2,2,2
independence148item,1,0,0,0
independencethe,1,1,1,1
indexes,1,1,0,1
indirectly,1,1,1,1
individuals,1,1,2,1
industrial,1,2,1,2
industries,1,1,1,1
ineffective,1,1,1,1
infer,1,1,1,1
inferences,1,1,1,1
influenced,1,1,2,1
information146,1,0,0,0
information23,1,0,0,0
informationnone,1,0,1,1
informationour,1,1,0,1
informationthe,1,1,1,1
inhibit,1,1,1,1
initially,1,5,5,1
inject,1,0,0,1
injections,1,1,1,1
injector,1,1,1,1
inquiry,1,1,1,1
ins,1,1,1,1
insiders,1,0,0,1
install,1,1,1,1
installed,1,1,1,1
installments,1,0,0,0
instance,1,1,1,1
instead,1,2,2,2
institute,1,1,0,1
institution,1,1,1,1
instructions,1,1,1,1
instrumentssummary,1,1,1,1
instrumentthe,1,0,0,0
insufficient,1,2,0,1
insulated,1,1,1,1
insured,1,1,1,1
integrity,1,0,0,0
intends,1,1,1,1
intensely,1,1,1,1
intensify,1,1,1,1
intention,1,1,1,1
interactive,1,1,1,1
interagency,1,1,1,1
interbank,1,1,1,1
intercompany,1,1,1,1
interest40,1,0,0,0
interestcapitalized,1,1,1,1
interfere,1,1,1,1
intermediate,1,1,1,1
internally,1,1,3,1
internet,1,1,1,1
interpolated,1,1,1,1
interpretive,1,1,1,1
interruption,1,1,1,1
intervention,1,1,1,1
intrastate,1,1,1,1
intrinsic,1,1,0,1
investigations,1,1,1,1
investor,1,1,1,1
invests,1,1,1,1
irregularities,1,1,1,1
irrevocably,1,0,0,0
isobutane,1,2,3,3
isolation,1,1,1,1
issuable,1,2,1,1
itemized,1,1,1,1
iterating,1,1,1,1
iterations,1,1,1,1
iv,1,2,1,1
iv149item,1,0,0,0
ivitem,1,1,1,1
iwhen,1,1,1,1
jeopardize,1,1,1,1
job,1,1,0,1
john,1,0,0,0
jones,1,1,1,1
judicial,1,2,4,2
julio,1,1,1,1
jurisdiction,1,1,2,1
jurisdictional,1,1,1,1
jurisdictionof,1,1,0,1
jurisdictions,1,1,1,1
kþ,1,1,1,1
kansas,1,0,0,0
kinds,1,1,0,1
lab,1,1,1,1
label,1,1,1,1
landing,1,1,1,2
landowners,1,1,1,1
larry,1,1,1,1
lasalle,1,1,0,1
lastly,1,0,0,0
later,1,1,2,2
laterals,1,0,1,2
lawful,1,1,1,1
leak,1,5,3,1
leasedcorporate,1,1,1,1
leasesthe,1,1,0,1
led,1,0,3,1
legislating,1,1,1,1
legislators,1,0,0,0
lengthy,1,1,1,1
lessee,1,1,1,1
lessees,1,1,2,1
letter,1,2,3,1
letter101,1,1,1,1
liabilities1,1,0,1,0
liabilities3,1,1,0,1
liabilities39,1,0,0,0
liabilities784,1,0,0,0
liabilitiesas,1,1,1,1
liability142,1,0,0,0
liability27,1,0,0,0
liability70,1,0,0,0
libor,1,1,1,1
licensed,1,1,1,1
lifting,1,1,3,1
loadings,1,0,0,2
localized,1,1,1,1
locate,1,1,1,1
locating,1,1,1,1
logs,1,1,1,1
london,1,1,1,1
loren,1,1,1,1
loss689,1,0,0,0
loss8,1,0,0,0
lowdecember,1,1,0,1
lowest,1,2,1,1
lump,1,0,0,0
lying,1,1,1,1
lynch,1,5,0,1
magnitude,1,2,2,2
malicious,1,1,1,1
mall,1,0,0,0
managers,1,1,1,1
mandates,1,0,1,0
marked,1,1,1,0
marketplace,1,1,1,1
marketprice,1,1,1,1
mass,1,1,1,1
materialize,1,1,1,1
materializing,1,1,1,1
mathematically,1,1,1,1
matter,1,1,6,1
matters146item,1,0,0,0
matters83,1,0,0,1
mattersplease,1,1,1,1
mattersthe,1,1,1,1
maverick,1,1,0,1
mckenzie,1,0,0,0
meaning,1,1,1,1
meaningfully,1,0,1,1
meant,1,2,1,1
measurementsthe,1,1,1,1
measures842table,1,0,0,0
measuresadjusted,1,1,1,1
mechanical,1,1,1,1
mechanically,1,1,1,1
meets,1,1,1,1
memorandum,1,1,1,1
merge,1,1,1,1
mergers,1,1,1,1
merrill,1,5,0,1
meteorological,1,1,1,1
micro,1,1,1,1
middle,1,3,0,1
migration,1,1,1,1
mild,1,1,1,1
military,1,1,1,1
mines,1,1,1,1
minimize,1,1,0,3
miscellaneous,1,1,1,1
misleading,1,1,0,1
mississippi,1,0,0,0
mistake,1,1,1,1
mitigation,1,1,1,1
mmboe547,1,0,0,0
mmboe55,1,0,0,0
models,1,1,1,1
modest,1,1,1,1
modify,1,1,2,1
modifying,1,0,0,1
monetize,1,0,0,0
monitors,1,1,1,1
mont,1,7,6,6
morgan,1,5,0,1
motion,1,1,3,1
moved,1,1,1,1
multi,1,2,2,2
municipal,1,1,1,1
municipalities,1,1,1,1
muted,1,1,0,1
